CustomerID,Occupation,Monthly Income (MYR),Account Balance (MYR),Credit Score,Total Loan Applied (MYR),Loan Duration (Years),Loan Purpose Text,Topic,Risk Category
CUST0001,Clerk,2051,3011,590,18459,24,financing for new tiles for bathroom next week,Home Improvement,High
CUST0002,Retired,1856,2465,639,12992,7,financing for covering hospital stay bill immediately,Medical Expenses,Low
CUST0003,Retired,3965,8030,658,99125,23,sudden funeral costs urgent please,Emergency Expenses,Low
CUST0004,Sales Executive,6679,1779,572,33395,25,fixing the garden fence,Home Improvement,Low
CUST0005,Manager,13574,19043,704,203610,4,help me to installing smart locks,Home Improvement,Low
CUST0006,Manager,9584,9923,706,124592,26,adding a swimming pool without delay,Home Improvement,Low
CUST0007,Freelancer,6892,19160,777,48244,18,planning to renovate the kitchen cabinets,Home Improvement,Low
CUST0008,Self-Employed,13459,21638,678,161508,25,help me to launching a new product line,Business Expansion,Low
CUST0009,Clerk,3751,5775,686,48763,15,funds required to root canal treatment,Medical Expenses,Low
CUST0010,Teacher,5016,3852,744,125400,3,help me to starting a coffee stall,Business Expansion,Low
CUST0011,Retired,2502,4765,716,62550,23,applying for cash to insulin pump cost thanks,Medical Expenses,Low
CUST0012,Self-Employed,4916,7505,670,73740,13,help me to prescription drugs cost,Medical Expenses,Low
CUST0013,Clerk,2432,5800,596,36480,7,borrowing to capital for startup to move forward,Business Expansion,High
CUST0014,Manager,18532,16553,666,222384,24,urgent need for fixing the garden fence,Home Improvement,Low
CUST0015,Manager,17560,18364,683,158040,17,i need to loan for immediate survival,Emergency Expenses,Low
CUST0016,Clerk,3547,6628,661,88675,6,applying for cash to purchasing raw materials bulk,Business Expansion,High
CUST0017,Clerk,2788,0,830,58548,9,urgent need for fix the leaking roof,Home Improvement,High
CUST0018,Clerk,3396,8487,561,84900,11,funds required to mba program cost badly,Education,Low
CUST0019,Engineer,8561,13142,655,111293,17,money needed for kids school uniform,Education,Low
CUST0020,Retired,1935,3797,601,48375,17,loan for immediate survival quickly,Emergency Expenses,High
CUST0021,Teacher,5031,7940,550,105651,30,coding bootcamp fee thanks,Education,Low
CUST0022,Self-Employed,12005,39937,672,168070,8,financing for building a garage extension,Home Improvement,Low
CUST0023,Sales Executive,7647,13916,638,152940,27,buying laptop for studies badly,Education,Low
CUST0024,Retired,2015,4289,715,44330,6,im looking to language course abroad,Education,High
CUST0025,Retired,3984,4028,675,87648,25,im looking to mba program cost to move forward,Education,Low
